Effective From Date,Effective To Date,ETLMOj+,ETLMOj-
01/03/2026,31/03/2026,-0.01703,0.010811
01/12/2025,28/02/2026,-0.01726,0.010106
01/09/2025,30/11/2025,-0.016374,0.011342
01/06/2025,31/08/2025,-0.018769,0.01201
16/04/2025,31/05/2025,-0.01577,0.0108
01/04/2025,15/04/2025,-0.01703,0.00691
01/03/2025,31/03/2025,-0.01577,0.0108
01/12/2024,28/02/2025,-0.01753,0.00825
01/09/2024,30/11/2024,-0.0163,0.0133
01/06/2024,31/08/2024,-0.01692,0.01485
01/04/2024,31/05/2024,-0.01577,0.0108
01/03/2024,31/03/2024,-0.0126,0.00954
01/12/2023,29/02/2024,-0.01446,0.00791
01/09/2023,30/11/2023,-0.01309,0.01018
01/06/2023,31/08/2023,-0.01378,0.012
01/04/2023,31/05/2023,-0.0126,0.00954
01/03/2023,31/03/2023,-0.01231,0.00852
01/12/2022,28/02/2023,-0.01444,0.00608
01/09/2022,30/11/2022,-0.01473,0.00925
01/06/2022,31/08/2022,-0.01265,0.00999
01/04/2022,31/05/2022,-0.01231,0.00852
01/03/2022,31/03/2022,-0.01442,0.00782
01/12/2021,28/02/2022,-0.01569,0.00436
01/09/2021,30/11/2021,-0.01395,0.00872
01/06/2021,31/08/2021,-0.01415,0.00977
01/04/2021,31/05/2021,-0.01442,0.00782
01/03/2021,31/03/2021,-0.01166,0.00674
01/12/2020,28/02/2021,-0.0112,0.00621
01/09/2020,30/11/2020,-0.01173,0.00672
01/06/2020,31/08/2020,-0.0134,0.00999
01/04/2020,31/05/2020,-0.01166,0.00674
01/03/2020,31/03/2020,-0.01085,0.00864
01/12/2019,29/02/2020,-0.01093,0.00681
01/09/2019,30/11/2019,-0.01082,0.00713
01/06/2019,31/08/2019,-0.01055,0.00877
01/04/2019,31/05/2019,-0.01085,0.00864
01/03/2019,31/03/2019,-0.00938,0.0072
01/12/2018,28/02/2019,-0.00899,0.00555
01/09/2018,30/11/2018,-0.00834,0.00705
01/06/2018,31/08/2018,-0.00977,0.00706
01/04/2018,31/05/2018,-0.00938,0.0072
01/04/2017,31/03/2018,-0.00899,0.0104
01/04/2016,31/03/2017,-0.01053,0.0121
01/04/2015,31/03/2016,-0.00932,0.01076
01/04/2014,31/03/2015,-0.00836,0.00992
01/04/2013,31/03/2014,-0.00913,0.01098
29/11/2012,31/03/2013,-0.01039,0.01264
01/04/2012,28/11/2012,-0.00842,0.0105
01/04/2011,31/03/2012,-0.00757,0.00941
01/04/2010,31/03/2011,-0.00881,0.01099
01/04/2009,31/03/2010,-0.00782,0.00973
01/10/2008,31/03/2009,-0.00805,0.01002
01/04/2008,30/09/2008,-0.00863,0.01075
01/04/2007,31/03/2008,-0.00785,0.00977
01/04/2006,31/03/2007,-0.00718,0.00892
01/10/2005,31/03/2006,-0.00695,0.00863
01/04/2005,30/09/2005,-0.00695,0.00863
01/04/2004,31/03/2005,-0.00645,0.008
01/04/2003,31/03/2004,-0.00645,0.008
01/04/2002,31/03/2003,-0.00792,0.00985
